ref_date,region,migration_status,num_people,net_internal_migration
"1962-04-01 00:00:00","New Brunswick",In-migrants,2895,-604
"1962-04-01 00:00:00","New Brunswick",Out-migrants,3499,-604
"1962-04-01 00:00:00","Newfoundland and Labrador",In-migrants,1015,-119
"1962-04-01 00:00:00","Newfoundland and Labrador",Out-migrants,1134,-119
"1962-04-01 00:00:00","Nova Scotia",In-migrants,3715,-632
"1962-04-01 00:00:00","Nova Scotia",Out-migrants,4347,-632
"1962-04-01 00:00:00",Ontario,In-migrants,15080,1295
"1962-04-01 00:00:00",Ontario,Out-migrants,13785,1295
"1962-04-01 00:00:00","Prince Edward Island",Out-migrants,607,248
"1962-04-01 00:00:00","Prince Edward Island",In-migrants,855,248
"1962-04-01 00:00:00",Quebec,Out-migrants,8358,148
"1962-04-01 00:00:00",Quebec,In-migrants,8506,148
"1962-04-01 00:00:00",Saskatchewan,Out-migrants,5896,-1639
"1962-04-01 00:00:00",Saskatchewan,In-migrants,4257,-1639
"1962-07-01 00:00:00",Alberta,Out-migrants,12840,1887
"1962-07-01 00:00:00",Alberta,In-migrants,14727,1887
"1962-07-01 00:00:00","British Columbia",Out-migrants,11571,2512
"1962-07-01 00:00:00","British Columbia",In-migrants,14083,2512
"1962-07-01 00:00:00",Canada,In-migrants,99614,0
"1962-07-01 00:00:00",Canada,Out-migrants,99614,0
"1962-07-01 00:00:00",Manitoba,In-migrants,7993,-1096
"1962-07-01 00:00:00",Manitoba,Out-migrants,9089,-1096
"1962-07-01 00:00:00","New Brunswick",In-migrants,4861,-1772
"1962-07-01 00:00:00","New Brunswick",Out-migrants,6633,-1772
"1962-07-01 00:00:00","Newfoundland and Labrador",In-migrants,2036,-758
"1962-07-01 00:00:00","Newfoundland and Labrador",Out-migrants,2794,-758
"1962-07-01 00:00:00","Nova Scotia",In-migrants,7197,-813
"1962-07-01 00:00:00","Nova Scotia",Out-migrants,8010,-813
"1962-07-01 00:00:00",Ontario,In-migrants,25772,1954
"1962-07-01 00:00:00",Ontario,Out-migrants,23818,1954
"1962-07-01 00:00:00","Prince Edward Island",In-migrants,1140,-518
"1962-07-01 00:00:00","Prince Edward Island",Out-migrants,1658,-518
"1962-07-01 00:00:00",Quebec,Out-migrants,12274,2119
"1962-07-01 00:00:00",Quebec,In-migrants,14393,2119
"1962-07-01 00:00:00",Saskatchewan,Out-migrants,9395,-3561
"1962-07-01 00:00:00",Saskatchewan,In-migrants,5834,-3561
"1962-10-01 00:00:00",Alberta,Out-migrants,11839,2402
"1962-10-01 00:00:00",Alberta,In-migrants,14241,2402
"1962-10-01 00:00:00","British Columbia",Out-migrants,9134,4134
"1962-10-01 00:00:00","British Columbia",In-migrants,13268,4134
"1962-10-01 00:00:00",Canada,In-migrants,98271,0
"1962-10-01 00:00:00",Canada,Out-migrants,98271,0
"1962-10-01 00:00:00",Manitoba,Out-migrants,7831,478
"1962-10-01 00:00:00",Manitoba,In-migrants,8309,478
"1962-10-01 00:00:00","New Brunswick",In-migrants,5288,-1943
"1962-10-01 00:00:00","New Brunswick",Out-migrants,7231,-1943
"1962-10-01 00:00:00","Newfoundland and Labrador",Out-migrants,2345,-529
"1962-10-01 00:00:00","Newfoundland and Labrador",In-migrants,1816,-529
"1962-10-01 00:00:00","Nova Scotia",Out-migrants,8614,-2744
"1962-10-01 00:00:00","Nova Scotia",In-migrants,5870,-2744
"1962-10-01 00:00:00",Ontario,In-migrants,27316,4810
"1962-10-01 00:00:00",Ontario,Out-migrants,22506,4810
"1962-10-01 00:00:00","Prince Edward Island",Out-migrants,1365,-285
"1962-10-01 00:00:00","Prince Edward Island",In-migrants,1080,-285
"1962-10-01 00:00:00",Quebec,In-migrants,14022,-378
"1962-10-01 00:00:00",Quebec,Out-migrants,14400,-378
"1962-10-01 00:00:00",Saskatchewan,In-migrants,6035,-5544
"1962-10-01 00:00:00",Saskatchewan,Out-migrants,11579,-5544
"1963-01-01 00:00:00",Alberta,Out-migrants,8907,-229
"1963-01-01 00:00:00",Alberta,In-migrants,8678,-229
"1963-01-01 00:00:00","British Columbia",Out-migrants,6633,1390
"1963-01-01 00:00:00","British Columbia",In-migrants,8023,1390
"1963-01-01 00:00:00",Canada,In-migrants,59716,0
"1963-01-01 00:00:00",Canada,Out-migrants,59716,0
"1963-01-01 00:00:00",Manitoba,Out-migrants,4805,78
"1963-01-01 00:00:00",Manitoba,In-migrants,4883,78
"1963-01-01 00:00:00","New Brunswick",In-migrants,3101,-629
"1963-01-01 00:00:00","New Brunswick",Out-migrants,3730,-629
"1963-01-01 00:00:00","Newfoundland and Labrador",In-migrants,1075,-290
"1963-01-01 00:00:00","Newfoundland and Labrador",Out-migrants,1365,-290
"1963-01-01 00:00:00","Nova Scotia",In-migrants,3771,-791
"1963-01-01 00:00:00","Nova Scotia",Out-migrants,4562,-791
"1963-01-01 00:00:00",Ontario,Out-migrants,12721,3600
"1963-01-01 00:00:00",Ontario,In-migrants,16321,3600
"1963-01-01 00:00:00","Prince Edward Island",Out-migrants,699,-56
"1963-01-01 00:00:00","Prince Edward Island",In-migrants,643,-56
"1963-01-01 00:00:00",Quebec,Out-migrants,9194,-1331
"1963-01-01 00:00:00",Quebec,In-migrants,7863,-1331
"1963-01-01 00:00:00",Saskatchewan,In-migrants,4793,-1454
"1963-01-01 00:00:00",Saskatchewan,Out-migrants,6247,-1454
"1963-04-01 00:00:00",Alberta,Out-migrants,8554,862
"1963-04-01 00:00:00",Alberta,In-migrants,9416,862
"1963-04-01 00:00:00","British Columbia",Out-migrants,8286,755
"1963-04-01 00:00:00","British Columbia",In-migrants,9041,755
"1963-04-01 00:00:00",Canada,In-migrants,65918,0
"1963-04-01 00:00:00",Canada,Out-migrants,65918,0
"1963-04-01 00:00:00",Manitoba,In-migrants,5614,-480
"1963-04-01 00:00:00",Manitoba,Out-migrants,6094,-480
"1963-04-01 00:00:00","New Brunswick",In-migrants,2954,-1712
"1963-04-01 00:00:00","New Brunswick",Out-migrants,4666,-1712
"1963-04-01 00:00:00","Newfoundland and Labrador",In-migrants,1268,-87
"1963-04-01 00:00:00","Newfoundland and Labrador",Out-migrants,1355,-87
"1963-04-01 00:00:00","Nova Scotia",In-migrants,4015,-1087
"1963-04-01 00:00:00","Nova Scotia",Out-migrants,5102,-1087
"1963-04-01 00:00:00",Ontario,In-migrants,18922,5536
"1963-04-01 00:00:00",Ontario,Out-migrants,13386,5536
"1963-04-01 00:00:00","Prince Edward Island",Out-migrants,623,179
"1963-04-01 00:00:00","Prince Edward Island",In-migrants,802,179
"1963-04-01 00:00:00",Quebec,Out-migrants,10891,-2885
"1963-04-01 00:00:00",Quebec,In-migrants,8006,-2885
"1963-04-01 00:00:00",Saskatchewan,Out-migrants,6143,-999
"1963-04-01 00:00:00",Saskatchewan,In-migrants,5144,-999
"1963-07-01 00:00:00",Alberta,Out-migrants,12890,503
"1963-07-01 00:00:00",Alberta,In-migrants,13393,503
"1963-07-01 00:00:00","British Columbia",Out-migrants,11651,4055
"1963-07-01 00:00:00","British Columbia",In-migrants,15706,4055
"1963-07-01 00:00:00",Canada,In-migrants,106090,0
"1963-07-01 00:00:00",Canada,Out-migrants,106090,0
"1963-07-01 00:00:00",Manitoba,Out-migrants,9909,-1365
"1963-07-01 00:00:00",Manitoba,In-migrants,8544,-1365
"1963-07-01 00:00:00","New Brunswick",In-migrants,5411,-2163
"1963-07-01 00:00:00","New Brunswick",Out-migrants,7574,-2163
"1963-07-01 00:00:00","Newfoundland and Labrador",Out-migrants,3565,-982
"1963-07-01 00:00:00","Newfoundland and Labrador",In-migrants,2583,-982
"1963-07-01 00:00:00","Nova Scotia",Out-migrants,8610,-1417
"1963-07-01 00:00:00","Nova Scotia",In-migrants,7193,-1417
"1963-07-01 00:00:00",Ontario,In-migrants,30157,4247
"1963-07-01 00:00:00",Ontario,Out-migrants,25910,4247
"1963-07-01 00:00:00","Prince Edward Island",Out-migrants,1344,-62
"1963-07-01 00:00:00","Prince Edward Island",In-migrants,1282,-62
"1963-07-01 00:00:00",Quebec,In-migrants,13530,-854
"1963-07-01 00:00:00",Quebec,Out-migrants,14384,-854
"1963-07-01 00:00:00",Saskatchewan,In-migrants,6777,-1971
"1963-07-01 00:00:00",Saskatchewan,Out-migrants,8748,-1971
"1963-10-01 00:00:00",Alberta,Out-migrants,13369,-969
"1963-10-01 00:00:00",Alberta,In-migrants,12400,-969
"1963-10-01 00:00:00","British Columbia",Out-migrants,9027,5663
"1963-10-01 00:00:00","British Columbia",In-migrants,14690,5663
"1963-10-01 00:00:00",Canada,In-migrants,95012,0
"1963-10-01 00:00:00",Canada,Out-migrants,95012,0
"1963-10-01 00:00:00",Manitoba,Out-migrants,7863,-853
"1963-10-01 00:00:00",Manitoba,In-migrants,7010,-853
"1963-10-01 00:00:00","New Brunswick",In-migrants,5411,-2595
"1963-10-01 00:00:00","New Brunswick",Out-migrants,8006,-2595
"1963-10-01 00:00:00","Newfoundland and Labrador",In-migrants,1691,-1327
"1963-10-01 00:00:00","Newfoundland and Labrador",Out-migrants,3018,-1327
"1963-10-01 00:00:00","Nova Scotia",In-migrants,5913,-1985
"1963-10-01 00:00:00","Nova Scotia",Out-migrants,7898,-1985
"1963-10-01 00:00:00",Ontario,Out-migrants,20321,6978
"1963-10-01 00:00:00",Ontario,In-migrants,27299,6978
"1963-10-01 00:00:00","Prince Edward Island",Out-migrants,1409,-447
"1963-10-01 00:00:00","Prince Edward Island",In-migrants,962,-447
"1963-10-01 00:00:00",Quebec,Out-migrants,13757,-1507
"1963-10-01 00:00:00",Quebec,In-migrants,12250,-1507
"1963-10-01 00:00:00",Saskatchewan,In-migrants,6484,-2477
"1963-10-01 00:00:00",Saskatchewan,Out-migrants,8961,-2477
"1964-01-01 00:00:00",Alberta,Out-migrants,9929,-940
"1964-01-01 00:00:00",Alberta,In-migrants,8989,-940
"1964-01-01 00:00:00","British Columbia",Out-migrants,7400,2463
"1964-01-01 00:00:00","British Columbia",In-migrants,9863,2463
"1964-01-01 00:00:00",Canada,In-migrants,63652,0
"1964-01-01 00:00:00",Canada,Out-migrants,63652,0
"1964-01-01 00:00:00",Manitoba,Out-migrants,6050,-902
"1964-01-01 00:00:00",Manitoba,In-migrants,5148,-902
"1964-01-01 00:00:00","New Brunswick",In-migrants,3507,-646
"1964-01-01 00:00:00","New Brunswick",Out-migrants,4153,-646
"1964-01-01 00:00:00","Newfoundland and Labrador",In-migrants,1218,-412
"1964-01-01 00:00:00","Newfoundland and Labrador",Out-migrants,1630,-412
"1964-01-01 00:00:00","Nova Scotia",In-migrants,3671,-783
"1964-01-01 00:00:00","Nova Scotia",Out-migrants,4454,-783
"1964-01-01 00:00:00",Ontario,Out-migrants,14464,2677
"1964-01-01 00:00:00",Ontario,In-migrants,17141,2677
"1964-01-01 00:00:00","Prince Edward Island",Out-migrants,766,-151
"1964-01-01 00:00:00","Prince Edward Island",In-migrants,615,-151
"1964-01-01 00:00:00",Quebec,Out-migrants,8235,-552
"1964-01-01 00:00:00",Quebec,In-migrants,7683,-552
"1964-01-01 00:00:00",Saskatchewan,In-migrants,4974,-595
"1964-01-01 00:00:00",Saskatchewan,Out-migrants,5569,-595
"1964-04-01 00:00:00",Alberta,Out-migrants,9840,-1284
"1964-04-01 00:00:00",Alberta,In-migrants,8556,-1284
"1964-04-01 00:00:00","British Columbia",Out-migrants,6774,3473
"1964-04-01 00:00:00","British Columbia",In-migrants,10247,3473
"1964-04-01 00:00:00",Canada,In-migrants,63155,0
"1964-04-01 00:00:00",Canada,Out-migrants,63155,0
"1964-04-01 00:00:00",Manitoba,Out-migrants,5444,-421
"1964-04-01 00:00:00",Manitoba,In-migrants,5023,-421
"1964-04-01 00:00:00","New Brunswick",In-migrants,3013,-812
"1964-04-01 00:00:00","New Brunswick",Out-migrants,3825,-812
"1964-04-01 00:00:00","Newfoundland and Labrador",In-migrants,1238,-707
"1964-04-01 00:00:00","Newfoundland and Labrador",Out-migrants,1945,-707
"1964-04-01 00:00:00","Nova Scotia",Out-migrants,4627,-787
"1964-04-01 00:00:00","Nova Scotia",In-migrants,3840,-787
"1964-04-01 00:00:00",Ontario,In-migrants,17499,3970
"1964-04-01 00:00:00",Ontario,Out-migrants,13529,3970
"1964-04-01 00:00:00","Prince Edward Island",Out-migrants,666,-25
"1964-04-01 00:00:00","Prince Edward Island",In-migrants,641,-25
"1964-04-01 00:00:00",Quebec,Out-migrants,10053,-2913
"1964-04-01 00:00:00",Quebec,In-migrants,7140,-2913
"1964-04-01 00:00:00",Saskatchewan,In-migrants,5247,-291
"1964-04-01 00:00:00",Saskatchewan,Out-migrants,5538,-291
"1964-07-01 00:00:00",Alberta,Out-migrants,14648,-895
"1964-07-01 00:00:00",Alberta,In-migrants,13753,-895
"1964-07-01 00:00:00","British Columbia",Out-migrants,11810,5632
"1964-07-01 00:00:00","British Columbia",In-migrants,17442,5632
"1964-07-01 00:00:00",Canada,Out-migrants,111505,0
"1964-07-01 00:00:00",Canada,In-migrants,111505,0
"1964-07-01 00:00:00",Manitoba,Out-migrants,10866,-1875
"1964-07-01 00:00:00",Manitoba,In-migrants,8991,-1875
"1964-07-01 00:00:00","New Brunswick",In-migrants,5549,-1868
"1964-07-01 00:00:00","New Brunswick",Out-migrants,7417,-1868
"1964-07-01 00:00:00","Newfoundland and Labrador",Out-migrants,3905,-1703
"1964-07-01 00:00:00","Newfoundland and Labrador",In-migrants,2202,-1703
"1964-07-01 00:00:00","Nova Scotia",Out-migrants,8610,-1651
"1964-07-01 00:00:00","Nova Scotia",In-migrants,6959,-1651
"1964-07-01 00:00:00",Ontario,In-migrants,32553,6386
"1964-07-01 00:00:00",Ontario,Out-migrants,26167,6386
"1964-07-01 00:00:00","Prince Edward Island",Out-migrants,1446,-317
"1964-07-01 00:00:00","Prince Edward Island",In-migrants,1129,-317
"1964-07-01 00:00:00",Quebec,Out-migrants,15674,-1883
"1964-07-01 00:00:00",Quebec,In-migrants,13791,-1883
"1964-07-01 00:00:00",Saskatchewan,In-migrants,7744,-1095
"1964-07-01 00:00:00",Saskatchewan,Out-migrants,8839,-1095
"1964-10-01 00:00:00",Alberta,Out-migrants,12530,900
"1964-10-01 00:00:00",Alberta,In-migrants,13430,900
"1964-10-01 00:00:00","British Columbia",Out-migrants,10366,7043
"1964-10-01 00:00:00","British Columbia",In-migrants,17409,7043
"1964-10-01 00:00:00",Canada,In-migrants,99486,0
"1964-10-01 00:00:00",Canada,Out-migrants,99486,0
"1964-10-01 00:00:00",Manitoba,Out-migrants,9049,-1812
"1964-10-01 00:00:00",Manitoba,In-migrants,7237,-1812
"1964-10-01 00:00:00","New Brunswick",In-migrants,5542,-1651
"1964-10-01 00:00:00","New Brunswick",Out-migrants,7193,-1651
"1964-10-01 00:00:00","Newfoundland and Labrador",In-migrants,1732,-1675
"1964-10-01 00:00:00","Newfoundland and Labrador",Out-migrants,3407,-1675
"1964-10-01 00:00:00","Nova Scotia",In-migrants,5764,-2550
"1964-10-01 00:00:00","Nova Scotia",Out-migrants,8314,-2550
"1964-10-01 00:00:00",Ontario,Out-migrants,22312,4915
"1964-10-01 00:00:00",Ontario,In-migrants,27227,4915
"1964-10-01 00:00:00","Prince Edward Island",Out-migrants,1464,-725
"1964-10-01 00:00:00","Prince Edward Island",In-migrants,739,-725
"1964-10-01 00:00:00",Quebec,Out-migrants,13491,-871
"1964-10-01 00:00:00",Quebec,In-migrants,12620,-871
"1964-10-01 00:00:00",Saskatchewan,In-migrants,6594,-3221
"1964-10-01 00:00:00",Saskatchewan,Out-migrants,9815,-3221
"1965-01-01 00:00:00",Alberta,Out-migrants,12371,-3451
"1965-01-01 00:00:00",Alberta,In-migrants,8920,-3451
"1965-01-01 00:00:00","British Columbia",Out-migrants,8012,4058
"1965-01-01 00:00:00","British Columbia",In-migrants,12070,4058
"1965-01-01 00:00:00",Canada,In-migrants,73576,0
"1965-01-01 00:00:00",Canada,Out-migrants,73576,0
"1965-01-01 00:00:00",Manitoba,Out-migrants,6629,-1339
"1965-01-01 00:00:00",Manitoba,In-migrants,5290,-1339
"1965-01-01 00:00:00","New Brunswick",In-migrants,4012,-639
"1965-01-01 00:00:00","New Brunswick",Out-migrants,4651,-639
"1965-01-01 00:00:00","Newfoundland and Labrador",In-migrants,1295,-1277
"1965-01-01 00:00:00","Newfoundland and Labrador",Out-migrants,2572,-1277
"1965-01-01 00:00:00","Nova Scotia",Out-migrants,6588,-2705
"1965-01-01 00:00:00","Nova Scotia",In-migrants,3883,-2705
"1965-01-01 00:00:00",Ontario,In-migrants,22836,7089
"1965-01-01 00:00:00",Ontario,Out-migrants,15747,7089
"1965-01-01 00:00:00","Prince Edward Island",Out-migrants,1030,-425
"1965-01-01 00:00:00","Prince Edward Island",In-migrants,605,-425
"1965-01-01 00:00:00",Quebec,Out-migrants,9339,-586
"1965-01-01 00:00:00",Quebec,In-migrants,8753,-586
"1965-01-01 00:00:00",Saskatchewan,In-migrants,5246,-481
"1965-01-01 00:00:00",Saskatchewan,Out-migrants,5727,-481
"1965-04-01 00:00:00",Alberta,Out-migrants,10530,-1375
"1965-04-01 00:00:00",Alberta,In-migrants,9155,-1375
"1965-04-01 00:00:00","British Columbia",Out-migrants,7846,3620
"1965-04-01 00:00:00","British Columbia",In-migrants,11466,3620
"1965-04-01 00:00:00",Canada,In-migrants,67225,0
"1965-04-01 00:00:00",Canada,Out-migrants,67225,0
"1965-04-01 00:00:00",Manitoba,In-migrants,4519,-1911
"1965-04-01 00:00:00",Manitoba,Out-migrants,6430,-1911
"1965-04-01 00:00:00","New Brunswick",In-migrants,3529,-439
"1965-04-01 00:00:00","New Brunswick",Out-migrants,3968,-439
"1965-04-01 00:00:00","Newfoundland and Labrador",In-migrants,1342,-499
"1965-04-01 00:00:00","Newfoundland and Labrador",Out-migrants,1841,-499
"1965-04-01 00:00:00","Nova Scotia",In-migrants,3748,-1091
"1965-04-01 00:00:00","Nova Scotia",Out-migrants,4839,-1091
"1965-04-01 00:00:00",Ontario,In-migrants,19164,5095
"1965-04-01 00:00:00",Ontario,Out-migrants,14069,5095
"1965-04-01 00:00:00","Prince Edward Island",In-migrants,564,-192
"1965-04-01 00:00:00","Prince Edward Island",Out-migrants,756,-192
"1965-04-01 00:00:00",Quebec,Out-migrants,10372,-2474
"1965-04-01 00:00:00",Quebec,In-migrants,7898,-2474
"1965-04-01 00:00:00",Saskatchewan,In-migrants,5121,-687
"1965-04-01 00:00:00",Saskatchewan,Out-migrants,5808,-687
"1965-07-01 00:00:00",Alberta,Out-migrants,17871,-3668
"1965-07-01 00:00:00",Alberta,In-migrants,14203,-3668
"1965-07-01 00:00:00","British Columbia",Out-migrants,11884,10513
"1965-07-01 00:00:00","British Columbia",In-migrants,22397,10513
"1965-07-01 00:00:00",Canada,In-migrants,119748,0
"1965-07-01 00:00:00",Canada,Out-migrants,119748,0
"1965-07-01 00:00:00",Manitoba,Out-migrants,13788,-4774
"1965-07-01 00:00:00",Manitoba,In-migrants,9014,-4774
"1965-07-01 00:00:00","New Brunswick",In-migrants,6396,-1564
"1965-07-01 00:00:00","New Brunswick",Out-migrants,7960,-1564
"1965-07-01 00:00:00","Newfoundland and Labrador",In-migrants,2631,-1594
"1965-07-01 00:00:00","Newfoundland and Labrador",Out-migrants,4225,-1594
"1965-07-01 00:00:00","Nova Scotia",Out-migrants,9345,-2468
"1965-07-01 00:00:00","Nova Scotia",In-migrants,6877,-2468
"1965-07-01 00:00:00",Ontario,Out-migrants,25864,7563
"1965-07-01 00:00:00",Ontario,In-migrants,33427,7563
"1965-07-01 00:00:00","Prince Edward Island",Out-migrants,1586,-346
"1965-07-01 00:00:00","Prince Edward Island",In-migrants,1240,-346
"1965-07-01 00:00:00",Quebec,Out-migrants,16152,-1874
"1965-07-01 00:00:00",Quebec,In-migrants,14278,-1874
"1965-07-01 00:00:00",Saskatchewan,In-migrants,7869,-1825
"1965-07-01 00:00:00",Saskatchewan,Out-migrants,9694,-1825
"1965-10-01 00:00:00",Alberta,Out-migrants,16636,-2521
"1965-10-01 00:00:00",Alberta,In-migrants,14115,-2521
"1965-10-01 00:00:00","British Columbia",Out-migrants,11227,12764
"1965-10-01 00:00:00","British Columbia",In-migrants,23991,12764
"1965-10-01 00:00:00",Canada,In-migrants,119031,0
"1965-10-01 00:00:00",Canada,Out-migrants,119031,0
"1965-10-01 00:00:00",Manitoba,Out-migrants,11537,-2939
"1965-10-01 00:00:00",Manitoba,In-migrants,8598,-2939
"1965-10-01 00:00:00","New Brunswick",In-migrants,6254,-1989
"1965-10-01 00:00:00","New Brunswick",Out-migrants,8243,-1989
"1965-10-01 00:00:00","Newfoundland and Labrador",Out-migrants,3763,-1556
"1965-10-01 00:00:00","Newfoundland and Labrador",In-migrants,2207,-1556
"1965-10-01 00:00:00","Nova Scotia",Out-migrants,9692,-2863
"1965-10-01 00:00:00","Nova Scotia",In-migrants,6829,-2863
"1965-10-01 00:00:00",Ontario,In-migrants,33587,6382
"1965-10-01 00:00:00",Ontario,Out-migrants,27205,6382
"1965-10-01 00:00:00","Prince Edward Island",Out-migrants,1571,-432
"1965-10-01 00:00:00","Prince Edward Island",In-migrants,1139,-432
"1965-10-01 00:00:00",Quebec,In-migrants,14132,-2740
"1965-10-01 00:00:00",Quebec,Out-migrants,16872,-2740
"1965-10-01 00:00:00",Saskatchewan,In-migrants,7030,-3889
"1965-10-01 00:00:00",Saskatchewan,Out-migrants,10919,-3889
"1966-01-01 00:00:00",Alberta,Out-migrants,11927,-2124
"1966-01-01 00:00:00",Alberta,In-migrants,9803,-2124
"1966-01-01 00:00:00","British Columbia",Out-migrants,8603,5676
"1966-01-01 00:00:00","British Columbia",In-migrants,14279,5676
"1966-01-01 00:00:00",Canada,In-migrants,75404,0
"1966-01-01 00:00:00",Canada,Out-migrants,75404,0
"1966-01-01 00:00:00",Manitoba,In-migrants,5071,-2041
"1966-01-01 00:00:00",Manitoba,Out-migrants,7112,-2041
"1966-01-01 00:00:00","New Brunswick",In-migrants,3517,-1631
"1966-01-01 00:00:00","New Brunswick",Out-migrants,5148,-1631
"1966-01-01 00:00:00","Newfoundland and Labrador",Out-migrants,2540,-1073
"1966-01-01 00:00:00","Newfoundland and Labrador",In-migrants,1467,-1073
"1966-01-01 00:00:00","Nova Scotia",In-migrants,4155,-986
"1966-01-01 00:00:00","Nova Scotia",Out-migrants,5141,-986
"1966-01-01 00:00:00",Ontario,In-migrants,22094,6239
"1966-01-01 00:00:00",Ontario,Out-migrants,15855,6239
"1966-01-01 00:00:00","Prince Edward Island",Out-migrants,902,-336
"1966-01-01 00:00:00","Prince Edward Island",In-migrants,566,-336
"1966-01-01 00:00:00",Quebec,In-migrants,8663,-1801
"1966-01-01 00:00:00",Quebec,Out-migrants,10464,-1801
"1966-01-01 00:00:00",Saskatchewan,In-migrants,5048,-1565
