ref_date,region,status,population_change,annual_population_growth,percent_of_total_population,percent_of_population_change
"1952-10-01 00:00:00",Canada,Emigrants,15674,435000,0.11,3.60
"1952-10-01 00:00:00","Newfoundland and Labrador",Immigrants,128,12000,0.03,1.07
"1952-10-01 00:00:00","Newfoundland and Labrador",Emigrants,408,12000,0.11,3.40
"1952-10-01 00:00:00","Nova Scotia",Immigrants,456,11000,0.07,4.15
"1952-10-01 00:00:00","Nova Scotia",Emigrants,721,11000,0.11,6.55
"1952-10-01 00:00:00","New Brunswick",Immigrants,218,10000,0.04,2.18
"1952-10-01 00:00:00","New Brunswick",Emigrants,596,10000,0.11,5.96
"1952-10-01 00:00:00",Manitoba,Immigrants,954,18000,0.12,5.30
"1952-10-01 00:00:00",Manitoba,Emigrants,861,18000,0.11,4.78
"1952-10-01 00:00:00",Alberta,Immigrants,2305,35000,0.23,6.59
"1952-10-01 00:00:00",Alberta,Emigrants,1050,35000,0.11,3.00
"1952-10-01 00:00:00","British Columbia",Immigrants,2864,43000,0.23,6.66
"1952-10-01 00:00:00","British Columbia",Emigrants,1301,43000,0.11,3.03
"1952-10-01 00:00:00","Northwest Territories including Nunavut",Immigrants,11,0,0.07,NULL
"1952-10-01 00:00:00","Northwest Territories including Nunavut",Emigrants,16,0,0.10,NULL
"1953-01-01 00:00:00",Canada,Immigrants,22937,405000,0.16,5.66
"1953-01-01 00:00:00",Canada,Emigrants,12550,405000,0.09,3.10
"1953-01-01 00:00:00","Newfoundland and Labrador",Immigrants,103,11000,0.03,0.94
"1953-01-01 00:00:00","Newfoundland and Labrador",Emigrants,327,11000,0.09,2.97
"1953-01-01 00:00:00","Nova Scotia",Immigrants,411,13000,0.06,3.16
"1953-01-01 00:00:00","Nova Scotia",Emigrants,477,13000,0.07,3.67
"1953-01-01 00:00:00","New Brunswick",Immigrants,403,9000,0.08,4.48
"1953-01-01 00:00:00","New Brunswick",Emigrants,481,9000,0.09,5.34
"1953-01-01 00:00:00",Manitoba,Immigrants,939,15000,0.12,6.26
"1953-01-01 00:00:00",Manitoba,Emigrants,690,15000,0.09,4.60
"1953-01-01 00:00:00",Alberta,Immigrants,2296,35000,0.23,6.56
"1953-01-01 00:00:00",Alberta,Emigrants,840,35000,0.08,2.40
"1953-01-01 00:00:00","British Columbia",Immigrants,2174,44000,0.18,4.94
"1953-01-01 00:00:00","British Columbia",Emigrants,1041,44000,0.08,2.37
"1953-01-01 00:00:00","Northwest Territories including Nunavut",Immigrants,5,0,0.03,NULL
"1953-01-01 00:00:00","Northwest Territories including Nunavut",Emigrants,13,0,0.08,NULL
"1953-04-01 00:00:00",Canada,Immigrants,55399,387000,0.38,14.31
"1953-04-01 00:00:00",Canada,Emigrants,13093,387000,0.09,3.38
"1953-04-01 00:00:00","Newfoundland and Labrador",Immigrants,131,11000,0.03,1.19
"1953-04-01 00:00:00","Newfoundland and Labrador",Emigrants,340,11000,0.09,3.09
"1953-04-01 00:00:00","Nova Scotia",Immigrants,821,11000,0.12,7.46
"1953-04-01 00:00:00","Nova Scotia",Emigrants,593,11000,0.09,5.39
"1953-04-01 00:00:00","New Brunswick",Immigrants,307,8000,0.06,3.84
"1953-04-01 00:00:00","New Brunswick",Emigrants,496,8000,0.09,6.20
"1953-04-01 00:00:00",Manitoba,Immigrants,2798,12000,0.35,23.32
"1953-04-01 00:00:00",Manitoba,Emigrants,749,12000,0.09,6.24
"1953-04-01 00:00:00",Alberta,Immigrants,6175,37000,0.62,16.69
"1953-04-01 00:00:00",Alberta,Emigrants,849,37000,0.08,2.29
"1953-04-01 00:00:00","British Columbia",Immigrants,4229,44000,0.34,9.61
"1953-04-01 00:00:00","British Columbia",Emigrants,1059,44000,0.09,2.41
"1953-04-01 00:00:00","Northwest Territories including Nunavut",Immigrants,10,0,0.06,NULL
"1953-04-01 00:00:00","Northwest Territories including Nunavut",Emigrants,13,0,0.08,NULL
"1953-07-01 00:00:00",Canada,Immigrants,46762,390000,0.31,11.99
"1953-07-01 00:00:00",Canada,Emigrants,16152,390000,0.11,4.14
"1953-07-01 00:00:00","Newfoundland and Labrador",Immigrants,143,9000,0.04,1.59
"1953-07-01 00:00:00","Newfoundland and Labrador",Emigrants,420,9000,0.11,4.67
"1953-07-01 00:00:00","Nova Scotia",Immigrants,461,10000,0.07,4.61
"1953-07-01 00:00:00","Nova Scotia",Emigrants,710,10000,0.11,7.10
"1953-07-01 00:00:00","New Brunswick",Immigrants,175,6000,0.03,2.92
"1953-07-01 00:00:00","New Brunswick",Emigrants,582,6000,0.11,9.70
"1953-07-01 00:00:00",Manitoba,Immigrants,2739,11000,0.34,24.90
"1953-07-01 00:00:00",Manitoba,Emigrants,920,11000,0.11,8.36
"1953-07-01 00:00:00",Alberta,Immigrants,4018,39000,0.40,10.30
"1953-07-01 00:00:00",Alberta,Emigrants,1050,39000,0.10,2.69
"1953-07-01 00:00:00","British Columbia",Immigrants,3675,44000,0.29,8.35
"1953-07-01 00:00:00","British Columbia",Emigrants,1294,44000,0.10,2.94
"1953-07-01 00:00:00","Northwest Territories including Nunavut",Immigrants,25,0,0.16,NULL
"1953-07-01 00:00:00","Northwest Territories including Nunavut",Emigrants,21,0,0.13,NULL
"1953-10-01 00:00:00",Canada,Immigrants,43770,403000,0.29,10.86
"1953-10-01 00:00:00",Canada,Emigrants,16180,403000,0.11,4.01
"1953-10-01 00:00:00","Newfoundland and Labrador",Immigrants,125,10000,0.03,1.25
"1953-10-01 00:00:00","Newfoundland and Labrador",Emigrants,421,10000,0.11,4.21
"1953-10-01 00:00:00","Nova Scotia",Immigrants,513,10000,0.08,5.13
"1953-10-01 00:00:00","Nova Scotia",Emigrants,712,10000,0.11,7.12
"1953-10-01 00:00:00","New Brunswick",Immigrants,195,6000,0.04,3.25
"1953-10-01 00:00:00","New Brunswick",Emigrants,582,6000,0.11,9.70
"1953-10-01 00:00:00",Manitoba,Immigrants,1715,12000,0.21,14.29
"1953-10-01 00:00:00",Manitoba,Emigrants,921,12000,0.11,7.68
"1953-10-01 00:00:00",Alberta,Immigrants,2738,44000,0.27,6.22
"1953-10-01 00:00:00",Alberta,Emigrants,1052,44000,0.10,2.39
"1953-10-01 00:00:00","British Columbia",Immigrants,3040,43000,0.24,7.07
"1953-10-01 00:00:00","British Columbia",Emigrants,1295,43000,0.10,3.01
"1953-10-01 00:00:00","Northwest Territories including Nunavut",Immigrants,12,0,0.08,NULL
"1953-10-01 00:00:00","Northwest Territories including Nunavut",Emigrants,21,0,0.13,NULL
"1954-01-01 00:00:00",Canada,Immigrants,28223,423000,0.19,6.67
"1954-01-01 00:00:00",Canada,Emigrants,12025,423000,0.08,2.84
"1954-01-01 00:00:00","Newfoundland and Labrador",Immigrants,77,11000,0.02,0.70
"1954-01-01 00:00:00","Newfoundland and Labrador",Emigrants,313,11000,0.08,2.85
"1954-01-01 00:00:00","Nova Scotia",Immigrants,434,8000,0.06,5.43
"1954-01-01 00:00:00","Nova Scotia",Emigrants,528,8000,0.08,6.60
"1954-01-01 00:00:00","New Brunswick",Immigrants,204,7000,0.04,2.91
"1954-01-01 00:00:00","New Brunswick",Emigrants,433,7000,0.08,6.19
"1954-01-01 00:00:00",Manitoba,Immigrants,1095,12000,0.13,9.13
"1954-01-01 00:00:00",Manitoba,Emigrants,698,12000,0.09,5.82
"1954-01-01 00:00:00",Alberta,Immigrants,2154,45000,0.21,4.79
"1954-01-01 00:00:00",Alberta,Emigrants,770,45000,0.07,1.71
"1954-01-01 00:00:00","British Columbia",Immigrants,2235,45000,0.17,4.97
"1954-01-01 00:00:00","British Columbia",Emigrants,947,45000,0.07,2.10
"1954-01-01 00:00:00","Northwest Territories including Nunavut",Immigrants,13,0,0.08,NULL
"1954-01-01 00:00:00","Northwest Territories including Nunavut",Emigrants,16,0,0.10,NULL
"1954-04-01 00:00:00",Canada,Immigrants,57542,436000,0.38,13.20
"1954-04-01 00:00:00",Canada,Emigrants,13332,436000,0.09,3.06
"1954-04-01 00:00:00","Newfoundland and Labrador",Immigrants,193,11000,0.05,1.75
"1954-04-01 00:00:00","Newfoundland and Labrador",Emigrants,346,11000,0.09,3.15
"1954-04-01 00:00:00","Nova Scotia",Immigrants,696,8000,0.10,8.70
"1954-04-01 00:00:00","Nova Scotia",Emigrants,587,8000,0.09,7.34
"1954-04-01 00:00:00","New Brunswick",Immigrants,283,6000,0.05,4.72
"1954-04-01 00:00:00","New Brunswick",Emigrants,495,6000,0.09,8.25
"1954-04-01 00:00:00",Manitoba,Immigrants,3863,13000,0.47,29.72
"1954-04-01 00:00:00",Manitoba,Emigrants,767,13000,0.09,5.90
"1954-04-01 00:00:00",Alberta,Immigrants,5692,45000,0.54,12.65
"1954-04-01 00:00:00",Alberta,Emigrants,859,45000,0.08,1.91
"1954-04-01 00:00:00","British Columbia",Immigrants,4309,46000,0.33,9.37
"1954-04-01 00:00:00","British Columbia",Emigrants,1024,46000,0.08,2.23
"1954-04-01 00:00:00","Northwest Territories including Nunavut",Immigrants,19,1000,0.11,1.90
"1954-04-01 00:00:00","Northwest Territories including Nunavut",Emigrants,18,1000,0.11,1.80
"1954-07-01 00:00:00",Canada,Immigrants,41088,444000,0.27,9.25
"1954-07-01 00:00:00",Canada,Emigrants,16274,444000,0.11,3.67
"1954-07-01 00:00:00","Newfoundland and Labrador",Immigrants,136,12000,0.03,1.13
"1954-07-01 00:00:00","Newfoundland and Labrador",Emigrants,423,12000,0.11,3.53
"1954-07-01 00:00:00","Nova Scotia",Immigrants,687,10000,0.10,6.87
"1954-07-01 00:00:00","Nova Scotia",Emigrants,715,10000,0.11,7.15
"1954-07-01 00:00:00","New Brunswick",Immigrants,342,8000,0.06,4.28
"1954-07-01 00:00:00","New Brunswick",Emigrants,618,8000,0.11,7.73
"1954-07-01 00:00:00",Manitoba,Immigrants,3154,15000,0.38,21.03
"1954-07-01 00:00:00",Manitoba,Emigrants,911,15000,0.11,6.07
"1954-07-01 00:00:00",Alberta,Immigrants,3575,45000,0.34,7.94
"1954-07-01 00:00:00",Alberta,Emigrants,1075,45000,0.10,2.39
"1954-07-01 00:00:00","British Columbia",Immigrants,3101,46000,0.24,6.74
"1954-07-01 00:00:00","British Columbia",Emigrants,1286,46000,0.10,2.80
"1954-07-01 00:00:00","Northwest Territories including Nunavut",Immigrants,18,1000,0.11,1.80
"1954-07-01 00:00:00","Northwest Territories including Nunavut",Emigrants,21,1000,0.12,2.10
"1954-10-01 00:00:00",Canada,Immigrants,27374,443000,0.18,6.18
"1954-10-01 00:00:00",Canada,Emigrants,15519,443000,0.10,3.50
"1954-10-01 00:00:00","Newfoundland and Labrador",Immigrants,118,12000,0.03,0.98
"1954-10-01 00:00:00","Newfoundland and Labrador",Emigrants,403,12000,0.10,3.36
"1954-10-01 00:00:00","Nova Scotia",Immigrants,390,9000,0.06,4.33
"1954-10-01 00:00:00","Nova Scotia",Emigrants,683,9000,0.10,7.59
"1954-10-01 00:00:00","New Brunswick",Immigrants,182,8000,0.03,2.28
"1954-10-01 00:00:00","New Brunswick",Emigrants,606,8000,0.11,7.58
"1954-10-01 00:00:00",Manitoba,Immigrants,1107,16000,0.13,6.92
"1954-10-01 00:00:00",Manitoba,Emigrants,870,16000,0.10,5.44
"1954-10-01 00:00:00",Alberta,Immigrants,1873,41000,0.18,4.57
"1954-10-01 00:00:00",Alberta,Emigrants,1023,41000,0.10,2.50
"1954-10-01 00:00:00","British Columbia",Immigrants,2552,46000,0.19,5.55
"1954-10-01 00:00:00","British Columbia",Emigrants,1208,46000,0.09,2.63
"1954-10-01 00:00:00","Northwest Territories including Nunavut",Immigrants,14,1000,0.08,1.40
"1954-10-01 00:00:00","Northwest Territories including Nunavut",Emigrants,21,1000,0.12,2.10
"1955-01-01 00:00:00",Canada,Immigrants,17627,430000,0.11,4.10
"1955-01-01 00:00:00",Canada,Emigrants,12047,430000,0.08,2.80
"1955-01-01 00:00:00","Newfoundland and Labrador",Immigrants,106,11000,0.03,0.96
"1955-01-01 00:00:00","Newfoundland and Labrador",Emigrants,313,11000,0.08,2.85
"1955-01-01 00:00:00","Nova Scotia",Immigrants,450,10000,0.07,4.50
"1955-01-01 00:00:00","Nova Scotia",Emigrants,530,10000,0.08,5.30
"1955-01-01 00:00:00","New Brunswick",Immigrants,146,7000,0.03,2.09
"1955-01-01 00:00:00","New Brunswick",Emigrants,481,7000,0.09,6.87
"1955-01-01 00:00:00",Manitoba,Immigrants,761,17000,0.09,4.48
"1955-01-01 00:00:00",Manitoba,Emigrants,683,17000,0.08,4.02
"1955-01-01 00:00:00",Alberta,Immigrants,1237,39000,0.11,3.17
"1955-01-01 00:00:00",Alberta,Emigrants,787,39000,0.07,2.02
"1955-01-01 00:00:00","British Columbia",Immigrants,1875,45000,0.14,4.17
"1955-01-01 00:00:00","British Columbia",Emigrants,916,45000,0.07,2.04
"1955-01-01 00:00:00","Northwest Territories including Nunavut",Immigrants,5,1000,0.03,0.50
"1955-01-01 00:00:00","Northwest Territories including Nunavut",Emigrants,16,1000,0.09,1.60
"1955-04-01 00:00:00",Canada,Immigrants,40790,421000,0.26,9.69
"1955-04-01 00:00:00",Canada,Emigrants,13467,421000,0.09,3.20
"1955-04-01 00:00:00","Newfoundland and Labrador",Immigrants,139,11000,0.03,1.26
"1955-04-01 00:00:00","Newfoundland and Labrador",Emigrants,349,11000,0.09,3.17
"1955-04-01 00:00:00","Nova Scotia",Immigrants,744,11000,0.11,6.76
"1955-04-01 00:00:00","Nova Scotia",Emigrants,577,11000,0.08,5.25
"1955-04-01 00:00:00","New Brunswick",Immigrants,204,8000,0.04,2.55
"1955-04-01 00:00:00","New Brunswick",Emigrants,512,8000,0.09,6.40
"1955-04-01 00:00:00",Manitoba,Immigrants,1915,18000,0.23,10.64
"1955-04-01 00:00:00",Manitoba,Emigrants,754,18000,0.09,4.19
"1955-04-01 00:00:00",Alberta,Immigrants,2998,37000,0.28,8.10
"1955-04-01 00:00:00",Alberta,Emigrants,893,37000,0.08,2.41
"1955-04-01 00:00:00","British Columbia",Immigrants,3996,46000,0.30,8.69
"1955-04-01 00:00:00","British Columbia",Emigrants,1057,46000,0.08,2.30
"1955-04-01 00:00:00","Northwest Territories including Nunavut",Immigrants,20,1000,0.11,2.00
"1955-04-01 00:00:00","Northwest Territories including Nunavut",Emigrants,16,1000,0.09,1.60
"1955-07-01 00:00:00",Canada,Immigrants,28190,406000,0.18,6.94
"1955-07-01 00:00:00",Canada,Emigrants,19361,406000,0.12,4.77
"1955-07-01 00:00:00","Newfoundland and Labrador",Immigrants,103,11000,0.03,0.94
"1955-07-01 00:00:00","Newfoundland and Labrador",Emigrants,503,11000,0.12,4.57
"1955-07-01 00:00:00","Nova Scotia",Immigrants,340,10000,0.05,3.40
"1955-07-01 00:00:00","Nova Scotia",Emigrants,822,10000,0.12,8.22
"1955-07-01 00:00:00","New Brunswick",Immigrants,165,7000,0.03,2.36
"1955-07-01 00:00:00","New Brunswick",Emigrants,677,7000,0.12,9.67
"1955-07-01 00:00:00",Manitoba,Immigrants,1404,16000,0.17,8.78
"1955-07-01 00:00:00",Manitoba,Emigrants,1057,16000,0.13,6.61
"1955-07-01 00:00:00",Alberta,Immigrants,2096,33000,0.19,6.35
"1955-07-01 00:00:00",Alberta,Emigrants,1325,33000,0.12,4.02
"1955-07-01 00:00:00","British Columbia",Immigrants,3322,48000,0.25,6.92
"1955-07-01 00:00:00","British Columbia",Emigrants,1615,48000,0.12,3.36
"1955-07-01 00:00:00","Northwest Territories including Nunavut",Immigrants,10,1000,0.06,1.00
"1955-07-01 00:00:00","Northwest Territories including Nunavut",Emigrants,26,1000,0.14,2.60
"1955-10-01 00:00:00",Canada,Immigrants,23339,390000,0.15,5.98
"1955-10-01 00:00:00",Canada,Emigrants,17018,390000,0.11,4.36
"1955-10-01 00:00:00","Newfoundland and Labrador",Immigrants,96,11000,0.02,0.87
"1955-10-01 00:00:00","Newfoundland and Labrador",Emigrants,442,11000,0.11,4.02
"1955-10-01 00:00:00","Nova Scotia",Immigrants,307,12000,0.04,2.56
"1955-10-01 00:00:00","Nova Scotia",Emigrants,719,12000,0.10,5.99
"1955-10-01 00:00:00","New Brunswick",Immigrants,144,7000,0.03,2.06
"1955-10-01 00:00:00","New Brunswick",Emigrants,596,7000,0.11,8.51
"1955-10-01 00:00:00",Manitoba,Immigrants,982,14000,0.12,7.01
"1955-10-01 00:00:00",Manitoba,Emigrants,932,14000,0.11,6.66
"1955-10-01 00:00:00",Alberta,Immigrants,1512,32000,0.14,4.73
"1955-10-01 00:00:00",Alberta,Emigrants,1161,32000,0.11,3.63
"1955-10-01 00:00:00","British Columbia",Immigrants,2377,51000,0.17,4.66
"1955-10-01 00:00:00","British Columbia",Emigrants,1415,51000,0.10,2.77
"1955-10-01 00:00:00","Northwest Territories including Nunavut",Immigrants,11,1000,0.06,1.10
"1955-10-01 00:00:00","Northwest Territories including Nunavut",Emigrants,23,1000,0.13,2.30
"1956-01-01 00:00:00",Canada,Immigrants,18963,384000,0.12,4.94
"1956-01-01 00:00:00",Canada,Emigrants,14158,384000,0.09,3.69
"1956-01-01 00:00:00","Newfoundland and Labrador",Immigrants,87,11000,0.02,0.79
"1956-01-01 00:00:00","Newfoundland and Labrador",Emigrants,368,11000,0.09,3.35
"1956-01-01 00:00:00","Nova Scotia",Immigrants,366,12000,0.05,3.05
"1956-01-01 00:00:00","Nova Scotia",Emigrants,593,12000,0.09,4.94
"1956-01-01 00:00:00","New Brunswick",Immigrants,163,8000,0.03,2.04
"1956-01-01 00:00:00","New Brunswick",Emigrants,496,8000,0.09,6.20
"1956-01-01 00:00:00",Manitoba,Immigrants,634,12000,0.08,5.28
"1956-01-01 00:00:00",Manitoba,Emigrants,781,12000,0.09,6.51
"1956-01-01 00:00:00",Alberta,Immigrants,1173,31000,0.11,3.78
"1956-01-01 00:00:00",Alberta,Emigrants,960,31000,0.09,3.10
"1956-01-01 00:00:00","British Columbia",Immigrants,2335,54000,0.17,4.32
"1956-01-01 00:00:00","British Columbia",Emigrants,1174,54000,0.09,2.17
"1956-01-01 00:00:00","Northwest Territories including Nunavut",Immigrants,14,1000,0.08,1.40
"1956-01-01 00:00:00","Northwest Territories including Nunavut",Emigrants,18,1000,0.10,1.80
"1956-04-01 00:00:00",Canada,Immigrants,50961,384000,0.32,13.27
"1956-04-01 00:00:00",Canada,Emigrants,17577,384000,0.11,4.58
"1956-04-01 00:00:00","Newfoundland and Labrador",Immigrants,102,10000,0.02,1.02
"1956-04-01 00:00:00","Newfoundland and Labrador",Emigrants,385,10000,0.09,3.85
"1956-04-01 00:00:00","Nova Scotia",Immigrants,569,12000,0.08,4.74
"1956-04-01 00:00:00","Nova Scotia",Emigrants,676,12000,0.10,5.63
"1956-04-01 00:00:00","New Brunswick",Immigrants,272,7000,0.05,3.89
"1956-04-01 00:00:00","New Brunswick",Emigrants,601,7000,0.11,8.59
"1956-04-01 00:00:00",Manitoba,Immigrants,1911,11000,0.23,17.37
"1956-04-01 00:00:00",Manitoba,Emigrants,989,11000,0.12,8.99
"1956-04-01 00:00:00",Alberta,Immigrants,3372,34000,0.30,9.92
"1956-04-01 00:00:00",Alberta,Emigrants,1023,34000,0.09,3.01
"1956-04-01 00:00:00","British Columbia",Immigrants,5178,54000,0.37,9.59
